Decimal Value,DNL,INL
470,0.3350261474484977,0.26919137556599587
471,-0.19731616903279514,0.07187520653320072
472,-1.0,-0.9281247934667993
473,1.2298236365315596,0.3016988430647603
474,-0.5486503916474856,-0.24695154858272536
475,1.1249794172465126,0.8780278686637872
476,-1.0,-0.12197213133621272
477,-1.0,-1.1219721313362128
478,2.123889484167861,1.0019173528316483
479,-1.0,0.0019173528316482164
480,-0.05596304156690257,-0.05404568873525435
481,0.8920979448220447,0.8380522560867903
482,-1.0,-0.16194774391320962
483,-0.317378530405256,-0.4793262743184656
484,1.2982321117802464,0.8189058374617808
485,-0.8021641528633644,0.016741684598416445
486,0.10624186712449224,0.12298355172290869
487,-1.0,-0.8770164482770914
488,0.7737183587765617,-0.10329808950052961
489,0.19755071964922988,0.09425263014870026
490,-1.0,-0.9057473698512998
491,2.3081899645439337,1.402442594692634
492,-1.0,0.40244259469263394
493,-0.3960299859051626,0.006412608787471335
494,-0.0368671998129908,-0.030454591025519468
495,1.0582537173246767,1.0277991262991573
496,-1.0,0.02779912629915719
497,0.18416168117801912,0.2119608074771763
498,-0.08369225238966871,0.1282685550875076
499,0.01237226953729853,0.14064082462480612
500,0.1038274503511345,0.24446827497594062
501,-0.18070790819710747,0.06376036677883316
502,0.027517247480099982,0.09127761425893315
503,0.34461065039782346,0.4358882646567566
504,-1.0,-0.5641117353432434
505,1.704219950449223,1.1401082151059796
506,-1.0,0.1401082151059795
507,-1.0,-0.8598917848940205
508,1.5461853980027764,0.6862936131087559
509,-1.0,-0.313706386891244
510,0.18006448907755668,-0.13364189781368738
511,-1.0,-1.1336418978136873
512,2.123889484167861,0.9902475863541736
513,-1.0,-0.009752413645826314
514,-0.35557021391307964,-0.36532262755890593
515,1.048669214375351,0.6833465868164451
516,-0.7178790582253695,-0.034532471408924306
517,-0.268065896910354,-0.3025983683192783
518,-0.015430105430207064,-0.31802847374948534
519,0.7816932505435221,0.4636647767940368
520,-0.7425353749728839,-0.27887059817884713
521,0.36363332800724946,0.08476272982840231
522,-1.0,-0.9152372701715977
523,1.505652461866081,0.5904151916944832
524,-1.0,-0.40958480830551675
525,-0.059913905378013,-0.46949871368352974
526,0.594100383658106,0.12460166997457627
527,-0.8108706860769582,-0.686269016102382
528,-1.0,-1.686269016102382
529,2.8724318480933215,1.1861628319909396
530,-1.0,0.18616283199093955
531,-0.29747788306022505,-0.11131505106928548
532,0.4351878614759277,0.32387281040664223
533,-0.24589716108119053,0.07797564932545169
534,0.13002021413627496,0.20799586346172663
