MSB,LSB,16-bit HEX,Decimal Value,Analog Output (V)
0x1,0x4B,0x14B,331,0.006823701
0x1,0x4C,0x14C,332,0.00681701
0x1,0x4D,0x14D,333,0.006869743
0x1,0x4E,0x14E,334,0.006867104
0x1,0x4F,0x14F,335,0.006843425
0x1,0x50,0x150,336,0.00678952
0x1,0x51,0x151,337,0.006893595
0x1,0x52,0x152,338,0.006941733
0x1,0x53,0x153,339,0.006966465
0x1,0x54,0x154,340,0.006967116
0x1,0x55,0x155,341,0.007030982
0x1,0x56,0x156,342,0.00703953
0x1,0x57,0x157,343,0.007025095
0x1,0x58,0x158,344,0.006970918
0x1,0x59,0x159,345,0.007055171
0x1,0x5A,0x15A,346,0.007084345
0x1,0x5B,0x15B,347,0.007088461
0x1,0x5C,0x15C,348,0.00706853
0x1,0x5D,0x15D,349,0.007114551
0x1,0x5E,0x15E,350,0.007103548
0x1,0x5F,0x15F,351,0.007066586
0x1,0x60,0x160,352,0.006944861
0x1,0x61,0x161,353,0.007052379
0x1,0x62,0x162,354,0.007105601
0x1,0x63,0x163,355,0.007134807
0x1,0x64,0x164,356,0.007141053
0x1,0x65,0x165,357,0.007211805
0x1,0x66,0x166,358,0.007225707
0x1,0x67,0x167,359,0.007215009
0x1,0x68,0x168,360,0.007166588
0x1,0x69,0x169,361,0.007255729
0x1,0x6A,0x16A,362,0.007289801
0x1,0x6B,0x16B,363,0.007298501
0x1,0x6C,0x16C,364,0.007284251
0x1,0x6D,0x16D,365,0.007335257
0x1,0x6E,0x16E,366,0.007327067
0x1,0x6F,0x16F,367,0.007296807
0x1,0x70,0x170,368,0.007239567
0x1,0x71,0x171,369,0.007337603
0x1,0x72,0x172,370,0.007379464
0x1,0x73,0x173,371,0.007400459
0x1,0x74,0x174,372,0.007396212
0x1,0x75,0x175,373,0.007454593
0x1,0x76,0x176,374,0.007458916
0x1,0x77,0x177,375,0.007439496
0x1,0x78,0x178,376,0.007381702
0x1,0x79,0x179,377,0.007460437
0x1,0x7A,0x17A,378,0.007482409
0x1,0x7B,0x17B,379,0.007482583
0x1,0x7C,0x17C,380,0.007459503
0x1,0x7D,0x17D,381,0.00749931
0x1,0x7E,0x17E,382,0.007482192
0x1,0x7F,0x17F,383,0.007441527
0x1,0x80,0x180,384,0.007296981
0x1,0x81,0x181,385,0.007412994
0x1,0x82,0x182,386,0.007472134
0x1,0x83,0x183,387,0.007506967
0x1,0x84,0x184,388,0.007521207
0x1,0x85,0x185,389,0.007595304
0x1,0x86,0x186,390,0.007614464
0x1,0x87,0x187,391,0.007610641
0x1,0x88,0x188,392,0.007569725
0x1,0x89,0x189,393,0.007663949
0x1,0x8A,0x18A,394,0.007703887
0x1,0x8B,0x18B,395,0.007718343
0x1,0x8C,0x18C,396,0.007713032
0x1,0x8D,0x18D,397,0.007767709
0x1,0x8E,0x18E,398,0.007766981
0x1,0x8F,0x18F,399,0.007742641
0x1,0x90,0x190,400,0.007690581
0x1,0x91,0x191,401,0.007795102
0x1,0x92,0x192,402,0.007843425
0x1,0x93,0x193,403,0.007870209
0x1,0x94,0x194,404,0.007872772
0x1,0x95,0x195,405,0.00793729
0x1,0x96,0x196,406,0.007948249
0x1,0x97,0x197,407,0.00793363
0x1,0x98,0x198,408,0.007882819
0x1,0x99,0x199,409,0.007968375
0x1,0x9A,0x19A,410,0.007996898
0x1,0x9B,0x19B,411,0.008002448
0x1,0x9C,0x19C,412,0.007986569
0x1,0x9D,0x19D,413,0.008031666
0x1,0x9E,0x19E,414,0.008020695
0x1,0x9F,0x19F,415,0.007987633
0x1,0xA0,0x1A0,416,0.007866788
0x1,0xA1,0x1A1,417,0.007976141
0x1,0xA2,0x1A2,418,0.008029645
0x1,0xA3,0x1A3,419,0.008062143
0x1,0xA4,0x1A4,420,0.008068312
0x1,0xA5,0x1A5,421,0.008140053
0x1,0xA6,0x1A6,422,0.008152956
0x1,0xA7,0x1A7,423,0.008143159
0x1,0xA8,0x1A8,424,0.008097356
0x1,0xA9,0x1A9,425,0.008188147
0x1,0xAA,0x1AA,426,0.008222263
0x1,0xAB,0x1AB,427,0.008232147
0x1,0xAC,0x1AC,428,0.008219559
0x1,0xAD,0x1AD,429,0.008269848
0x1,0xAE,0x1AE,430,0.008265894
0x1,0xAF,0x1AF,431,0.008237383
0x1,0xB0,0x1B0,432,0.008178817
0x1,0xB1,0x1B1,433,0.008277994
0x1,0xB2,0x1B2,434,0.00832321
0x1,0xB3,0x1B3,435,0.008344629
0x1,0xB4,0x1B4,436,0.008341588
0x1,0xB5,0x1B5,437,0.00840147
0x1,0xB6,0x1B6,438,0.008406412
0x1,0xB7,0x1B7,439,0.008388946
0x1,0xB8,0x1B8,440,0.008331465
0x1,0xB9,0x1B9,441,0.008411408
0x1,0xBA,0x1BA,442,0.008436292
0x1,0xBB,0x1BB,443,0.008437063
0x1,0xBC,0x1BC,444,0.008415307
0x1,0xBD,0x1BD,445,0.008455636
0x1,0xBE,0x1BE,446,0.008441592
0x1,0xBF,0x1BF,447,0.008402306
0x1,0xC0,0x1C0,448,0.008261626
0x1,0xC1,0x1C1,449,0.008372761
0x1,0xC2,0x1C2,450,0.008430394
0x1,0xC3,0x1C3,451,0.008461577
0x1,0xC4,0x1C4,452,0.008474014
0x1,0xC5,0x1C5,453,0.008545776
0x1,0xC6,0x1C6,454,0.008561905
0x1,0xC7,0x1C7,455,0.008555595
0x1,0xC8,0x1C8,456,0.008510975
0x1,0xC9,0x1C9,457,0.008604602
0x1,0xCA,0x1CA,458,0.008641411
0x1,0xCB,0x1CB,459,0.008655271
0x1,0xCC,0x1CC,460,0.008645267
0x1,0xCD,0x1CD,461,0.008696599
0x1,0xCE,0x1CE,462,0.00869308
0x1,0xCF,0x1CF,463,0.008668728
0x1,0xD0,0x1D0,464,0.00861341
0x1,0xD1,0x1D1,465,0.008715237
0x1,0xD2,0x1D2,466,0.008762333
0x1,0xD3,0x1D3,467,0.008784121
0x1,0xD4,0x1D4,468,0.008784762
0x1,0xD5,0x1D5,469,0.008849236
0x1,0xD6,0x1D6,470,0.008854971
0x1,0xD7,0x1D7,471,0.008839634
0x1,0xD8,0x1D8,472,0.008786706
0x1,0xD9,0x1D9,473,0.008868852
0x1,0xDA,0x1DA,474,0.008894604
0x1,0xDB,0x1DB,475,0.008896994
0x1,0xDC,0x1DC,476,0.008879159
0x1,0xDD,0x1DD,477,0.008921085
0x1,0xDE,0x1DE,478,0.00890917
0x1,0xDF,0x1DF,479,0.008872794
0x1,0xE0,0x1E0,480,0.008749484
0x1,0xE1,0x1E1,481,0.008855981
0x1,0xE2,0x1E2,482,0.0089093
0x1,0xE3,0x1E3,483,0.008936432
0x1,0xE4,0x1E4,484,0.00894284
0x1,0xE5,0x1E5,485,0.009010551
0x1,0xE6,0x1E6,486,0.009022509
0x1,0xE7,0x1E7,487,0.009010225
0x1,0xE8,0x1E8,488,0.008960588
0x1,0xE9,0x1E9,489,0.009049403
0x1,0xEA,0x1EA,490,0.009079652
0x1,0xEB,0x1EB,491,0.009088732
0x1,0xEC,0x1EC,492,0.009073472
0x1,0xED,0x1ED,493,0.009122609
0x1,0xEE,0x1EE,494,0.0091148
0x1,0xEF,0x1EF,495,0.009084094
0x1,0xF0,0x1F0,496,0.009024095
0x1,0xF1,0x1F1,497,0.009120404
0x1,0xF2,0x1F2,498,0.00916334
0x1,0xF3,0x1F3,499,0.009180056
0x1,0xF4,0x1F4,500,0.009175939
0x1,0xF5,0x1F5,501,0.009234222
0x1,0xF6,0x1F6,502,0.009235428
0x1,0xF7,0x1F7,503,0.009213835
0x1,0xF8,0x1F8,504,0.009157062
0x1,0xF9,0x1F9,505,0.00923482
0x1,0xFA,0x1FA,506,0.009256238
0x1,0xFB,0x1FB,507,0.009255565
0x1,0xFC,0x1FC,508,0.009229421
0x1,0xFD,0x1FD,509,0.009268707
0x1,0xFE,0x1FE,510,0.00925059
0x1,0xFF,0x1FF,511,0.009210153
0x2,0x0,0x200,512,0.008921454
0x2,0x1,0x201,513,0.00903664
0x2,0x2,0x202,514,0.009097367
0x2,0x3,0x203,515,0.009133568
0x2,0x4,0x204,516,0.009148709
0x2,0x5,0x205,517,0.009223491
0x2,0x6,0x206,518,0.009244769
0x2,0x7,0x207,519,0.009242216
0x2,0x8,0x208,520,0.009203462
0x2,0x9,0x209,521,0.009299359
0x2,0xA,0x20A,522,0.009339753
0x2,0xB,0x20B,523,0.009355893
0x2,0xC,0x20C,524,0.009351885
0x2,0xD,0x20D,525,0.009408756
0x2,0xE,0x20E,526,0.009408745
0x2,0xF,0x20F,527,0.009386414
0x2,0x10,0x210,528,0.009336516
0x2,0x11,0x211,529,0.009441841
0x2,0x12,0x212,530,0.00949276
0x2,0x13,0x213,531,0.0095205
0x2,0x14,0x214,532,0.009526322
0x2,0x15,0x215,533,0.00959223
0x2,0x16,0x216,534,0.009602961
0x2,0x17,0x217,535,0.00959135
0x2,0x18,0x218,536,0.0095418
0x2,0x19,0x219,537,0.009626769
0x2,0x1A,0x21A,538,0.009659343
0x2,0x1B,0x21B,539,0.009666653
0x2,0x1C,0x21C,540,0.009651066
0x2,0x1D,0x21D,541,0.009698336
0x2,0x1E,0x21E,542,0.009690135
0x2,0x1F,0x21F,543,0.009657182
0x2,0x20,0x220,544,0.009537107
0x2,0x21,0x221,545,0.009648753
0x2,0x22,0x222,546,0.009704516
0x2,0x23,0x223,547,0.009736395
0x2,0x24,0x224,548,0.009746148
0x2,0x25,0x225,549,0.009816824
0x2,0x26,0x226,550,0.009832758
0x2,0x27,0x227,551,0.009824612
0x2,0x28,0x228,552,0.00978008
0x2,0x29,0x229,553,0.009871512
0x2,0x2A,0x22A,554,0.009908365
0x2,0x2B,0x22B,555,0.009918825
0x2,0x2C,0x22C,556,0.009909799
0x2,0x2D,0x22D,557,0.009961174
0x2,0x2E,0x22E,558,0.009957731
0x2,0x2F,0x22F,559,0.009928904
0x2,0x30,0x230,560,0.009874618
0x2,0x31,0x231,561,0.009976771
0x2,0x32,0x232,562,0.010022031
0x2,0x33,0x233,563,0.010045198
0x2,0x34,0x234,564,0.010043852
0x2,0x35,0x235,565,0.01010485
0x2,0x36,0x236,566,0.01011078
0x2,0x37,0x237,567,0.010093032
0x2,0x38,0x238,568,0.010038388
0x2,0x39,0x239,569,0.010120773
0x2,0x3A,0x23A,570,0.010146482
0x2,0x3B,0x23B,571,0.010148828
0x2,0x3C,0x23C,572,0.010129114
0x2,0x3D,0x23D,573,0.010170573
0x2,0x3E,0x23E,574,0.010158006
0x2,0x3F,0x23F,575,0.010119698
0x2,0x40,0x240,576,0.009980855
0x2,0x41,0x241,577,0.010094379
0x2,0x42,0x242,578,0.010153021
0x2,0x43,0x243,579,0.010187539
0x2,0x44,0x244,580,0.010198585
0x2,0x45,0x245,581,0.010272519
